OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.156773 	 TACHO = 1.007824 	 SOURCE = 1.164597 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.179169 	 TACHO = 0.996626 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.179169 	 TACHO = 1.007824 	 SOURCE = 1.186993 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.179169 	 TACHO = 0.996626 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.179169 	 TACHO = 0.996626 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.156773 	 TACHO = 1.019022 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
