//RUN 1
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.022396 	 TACHO = 0.750269 	 SOURCE = 0.772665 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.145575 	 TACHO = 0.638289 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = -0.011198 	 TACHO = 0.783863 	 SOURCE = 0.772665 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.011198 	 TACHO = 0.795061 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = -0.526308 	 TACHO = 0.772665 	 SOURCE = 0.246357 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 80.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = -0.022396 	 TACHO = 0.806259 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.022396 	 TACHO = 0.806259 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = -0.033594 	 TACHO = 0.817457 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.011198 	 TACHO = 0.806259 	 SOURCE = 0.795061 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = -0.011198 	 TACHO = 0.795061 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.011198 	 TACHO = 0.795061 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 80.000000 	 ERROR = -0.011198 	 TACHO = 0.795061 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = -0.022396 	 TACHO = 0.806259 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.022396 	 TACHO = 0.806259 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.011198 	 TACHO = 0.761467 	 SOURCE = 0.750269 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.772665 	 SOURCE = 0.772665 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = -2.071639 	 TACHO = 2.855502 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 72.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 70.000000 	 ERROR = 0.011198 	 TACHO = 0.750269 	 SOURCE = 0.761467 
OUT = 66.000000 	 PREOUT = 68.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.067188 	 TACHO = 0.716675 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.100782 	 TACHO = 0.683081 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.100782 	 TACHO = 0.683081 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.089584 	 TACHO = 0.694279 	 SOURCE  0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.067188 	 TACHO = 0.716675 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 72.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
