ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 14:09:24 104m





Relative time;HS4D-5(24422).Ch2;HS4D-5(24422).Ch3
s;V;V
26.2739;92.29249;0.36693548
26.274;92.094862;0.35887097
26.2741;92.094862;0.35282258
26.2742;91.699605;0.35887097
26.2743;90.909091;0.37096774
26.2744;90.118577;0.36290323
26.2745;107.50988;0.44153226
26.2746;110.07905;0.40725806
26.2747;112.05534;0.41733871
26.2748;112.64822;0.42540323
26.2749;113.04348;0.38709677
26.275;113.43874;0.39919355
26.2751;112.84585;0.40322581
26.2752;112.45059;0.42137097
26.2753;112.84585;0.42741935
26.2754;110.67194;0.26209677
26.2755;109.68379;0.39717742
26.2756;108.69565;0.39314516
26.2757;106.71937;0.37096774
26.2758;105.13834;0.37903226
26.2759;104.1502;0.375
26.276;101.97628;0.29637097
26.2761;100.39526;0.35887097
26.2762;98.616601;0.38306452
26.2763;97.233202;0.37298387
26.2764;95.454545;0.37096774
26.2765;93.873518;0.36895161
26.2766;94.071146;0.37298387
26.2767;94.268775;0.36491935
26.2768;93.675889;0.37298387
26.2769;93.478261;0.34677419
26.277;92.885375;0.34475806
26.2771;92.885375;0.33467742
26.2772;92.094862;0.15524194
26.2773;92.29249;0.14112903
26.2774;91.304348;0.34274194
26.2775;92.29249;0.43145161
26.2776;91.897233;0.38306452
26.2777;105.5336;0.23185484
26.2778;109.09091;0.28427419
26.2779;111.26482;0.24193548
26.278;113.24111;0.29637097
26.2781;114.22925;0.30846774
26.2782;115.01976;0.30040323
26.2783;115.21739;0.31048387
26.2784;115.41502;0.31854839
26.2785;115.61265;0.32056452
26.2786;114.82213;0.33870968
26.2787;113.63636;0.375
26.2788;112.84585;0.3891129
26.2789;111.46245;0.35887097
26.279;109.48617;0.33870968
26.2791;108.10277;0.34274194
26.2792;106.71937;0.37096774
26.2793;105.5336;0.3608871
26.2794;104.1502;0.37903226
26.2795;101.97628;0.38709677
26.2796;100;0.39919355
26.2797;98.814229;0.36693548
26.2798;96.640316;0.36693548
26.2799;96.047431;0.37096774
26.28;96.047431;0.37903226
26.2801;96.245059;0.375
26.2802;96.047431;0.3891129
26.2803;95.849802;0.375
26.2804;95.652174;0.36693548
26.2805;95.256917;0.36290323
26.2806;94.86166;0.36491935
26.2807;94.86166;0.38104839
26.2808;95.059289;0.39314516
26.2809;94.071146;0.35282258
26.281;93.478261;0.36693548
26.2811;108.49802;0.52620968
26.2812;111.46245;0.40524194
26.2813;113.24111;0.40120968
26.2814;115.21739;0.68951613
26.2815;115.61265;0.5625
26.2816;115.81028;0.41330645
26.2817;115.61265;0.49193548
26.2818;115.61265;0.45766129
26.2819;114.82213;0.44354839
26.282;114.22925;0.44354839
26.2821;113.24111;0.44758065
26.2822;111.85771;0.46975806
26.2823;110.47431;0.46975806
26.2824;108.89328;0.4375
26.2825;107.31225;0.44354839
26.2826;105.92885;0.49193548
26.2827;104.34783;0.60887097
26.2828;101.97628;0.37298387
26.2829;100.39526;0.41330645
26.283;98.418972;0.4375
26.2831;96.837945;0.46572581
26.2832;94.86166;0.41935484
26.2833;94.268775;0.38508065
26.2834;94.466403;0.39919355
26.2835;94.466403;0.41733871
26.2836;94.071146;0.42943548
26.2837;93.675889;0.42741935
26.2838;93.675889;0.42741935
26.2839;93.478261;0.40725806
26.284;92.885375;0.41129032
26.2841;92.885375;0.43346774
26.2842;92.687747;0.44153226
26.2843;91.699605;0.41935484
26.2844;91.304348;0.37096774
26.2845;106.917;0.12903226
26.2846;111.06719;0.57056452
26.2847;112.45059;0.47580645
26.2848;113.24111;0.39516129
26.2849;114.03162;0.40524194
26.285;113.83399;0.32459677
26.2851;113.83399;0.34879032
26.2852;113.04348;0.41935484
26.2853;112.84585;0.38104839
26.2854;111.66008;0.40927419
26.2855;110.86957;0.32459677
26.2856;109.09091;0.3891129
26.2857;108.10277;0.41330645
26.2858;105.92885;0.35887097
26.2859;104.94071;0.37701613
26.286;103.55731;0.39516129
26.2861;101.77866;0.40725806
26.2862;100;0.41733871
26.2863;98.418972;0.38104839
26.2864;96.047431;0.36290323
26.2865;94.466403;0.2983871
26.2866;94.86166;0.47782258
26.2867;94.664032;0.44758065
26.2868;94.664032;0.41129032
26.2869;94.071146;0.42741935
26.287;94.071146;0.42943548
26.2871;93.675889;0.4516129
26.2872;93.478261;0.45967742
26.2873;92.885375;0.4233871
26.2874;92.687747;0.42943548
26.2875;92.687747;0.43951613
26.2876;92.094862;0.43951613
26.2877;104.94071;0.6875
26.2878;109.09091;0.51612903
26.2879;111.46245;0.46975806
26.288;113.24111;0.46370968
26.2881;114.03162;0.47580645
26.2882;115.21739;0.52620968
26.2883;114.82213;0.34274194
26.2884;115.41502;0.41330645
26.2885;115.21739;0.42741935
26.2886;115.01976;0.46572581
26.2887;114.22925;0.45967742
26.2888;113.04348;0.41330645
26.2889;112.05534;0.40725806
26.289;110.67194;0.4375
26.2891;108.49802;0.4516129
26.2892;107.11462;0.44758065
26.2893;105.73123;0.41532258
26.2894;104.34783;0.41330645
26.2895;102.37154;0.4233871
26.2896;101.18577;0.43548387
26.2897;98.814229;0.45564516
26.2898;97.43083;0.43951613
26.2899;95.849802;0.41733871
26.29;96.640316;0.43951613
26.2901;96.245059;0.30645161
26.2902;96.245059;0.4516129
26.2903;96.047431;0.39516129
26.2904;94.86166;0.38306452
26.2905;95.256917;0.35080645
26.2906;95.059289;0.39717742
26.2907;95.059289;0.43951613
26.2908;94.664032;0.40322581
26.2909;94.664032;0.37701613
26.291;93.675889;0.39919355
26.2911;108.69565;0.29032258
26.2912;112.25296;0.40524194
26.2913;113.24111;0.39314516
26.2914;114.03162;0.094758065
26.2915;115.21739;0.18548387
26.2916;115.61265;0.375
26.2917;114.62451;0.28225806
26.2918;117.3913;0.13709677
26.2919;114.22925;0.31653226
26.292;114.22925;0.40725806
26.2921;113.43874;0.36693548
26.2922;111.66008;0.3608871
26.2923;109.88142;0.2983871
26.2924;108.69565;0.31048387
26.2925;106.917;0.33870968
26.2926;105.73123;0.32862903
26.2927;103.95257;0.35685484
26.2928;102.7668;0.32056452
26.2929;100.39526;0.31451613
26.293;98.616601;0.3125
26.2931;96.837945;0.33266129
26.2932;95.256917;0.37701613
26.2933;94.466403;0.34274194
26.2934;93.873518;0.32258065
26.2935;94.466403;0.32862903
26.2936;93.873518;0.36491935
26.2937;93.478261;0.34072581
26.2938;93.478261;0.39717742
26.2939;93.280632;0.36693548
26.294;93.083004;0.37096774
26.2941;93.083004;0.3608871
26.2942;93.083004;0.37701613
26.2943;92.29249;0.33669355
26.2944;91.501976;0.34677419
26.2945;107.31225;0.46774194
26.2946;110.67194;0.42137097
26.2947;112.05534;0.46572581
26.2948;112.84585;0.4233871
26.2949;114.22925;0.37903226
26.295;114.03162;0.39919355
26.2951;114.03162;0.40725806
26.2952;113.83399;0.45362903
26.2953;113.24111;0.40120968
26.2954;114.03162;0.47782258
26.2955;111.26482;0.34677419
26.2956;109.48617;0.38104839
26.2957;108.10277;0.41129032
26.2958;106.32411;0.37096774
26.2959;105.73123;0.40322581
26.296;103.55731;0.38508065
26.2961;101.97628;0.39919355
26.2962;100.39526;0.46774194
26.2963;98.616601;0.40524194
26.2964;97.035573;0.3891129
26.2965;94.466403;0.41129032
26.2966;94.86166;0.375
26.2967;94.86166;0.44354839
26.2968;94.466403;0.35282258
26.2969;94.268775;0.35685484
26.297;93.675889;0.39919355
26.2971;93.675889;0.40120968
26.2972;92.885375;0.23991935
26.2973;92.885375;0.30241935
26.2974;92.687747;0.34677419
26.2975;92.29249;0.35685484
26.2976;92.490119;0.3125
26.2977;104.34783;0.24596774
26.2978;108.49802;0.22177419
26.2979;111.06719;0.28830645
26.298;112.64822;0.29637097
26.2981;114.03162;0.28629032
26.2982;115.01976;0.34274194
26.2983;115.41502;0.29233871
26.2984;115.61265;0.32056452
26.2985;115.21739;0.32258065
26.2986;115.01976;0.33467742
26.2987;113.83399;0.40927419
26.2988;112.84585;0.35080645
26.2989;111.85771;0.31854839
26.299;109.68379;0.16129032
26.2991;108.89328;0.50604839
26.2992;107.11462;0.45766129
26.2993;105.92885;0.375
26.2994;104.34783;0.36693548
26.2995;102.17391;0.33870968
26.2996;100.79051;0.33064516
26.2997;99.011858;0.42540323
26.2998;97.035573;0.34677419
26.2999;96.047431;0.35483871
26.3;96.047431;0.36693548
26.3001;96.442688;0.36895161
26.3002;96.047431;0.4516129
26.3003;96.245059;0.36290323
26.3004;95.849802;0.36290323
26.3005;95.454545;0.375
