ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 13:40:05 400m





Relative time;HS4D-5(24422).Ch4;HS4D-5(24422).Ch3;HS4D-5(24422).Ch1;HS4D-5(24422).Ch2
s;V;V;V;V
1.2611;0.13496933;1.6302349;363.30827;362.47505
1.26115;0.11860941;1.6098059;360.50125;359.68064
1.2612;0.29038855;1.7201226;358.49624;357.68463
1.26125;0.10633947;1.5934627;354.48622;354.49102
1.2613;0.23312883;1.691522;352.88221;352.09581
1.26135;0.13087935;1.6179775;350.07519;349.3014
1.2614;0.16768916;1.6424923;347.66917;346.90619
1.26145;0.27402863;1.7037794;344.86216;344.11178
1.2615;0.22903885;1.6874362;342.85714;341.71657
1.26155;0.16359918;1.6343207;340.05013;338.12375
1.2616;0.073619632;1.5689479;336.4411;336.52695
1.26165;0.032719836;1.5321757;334.43609;333.33333
1.2617;0.27811861;1.6996936;332.43108;331.73653
1.26175;0.23721881;1.6833504;328.82206;328.94212
1.2618;0.1595092;1.6220633;326.41604;325.7485
1.26185;0.061349693;1.5566905;325.21303;324.1517
1.2619;-0.036809816;1.4749745;325.61404;324.1517
1.26195;0.16768916;1.6057201;324.81203;324.1517
1.262;0.036809816;1.5035751;324.81203;323.7525
1.26205;0.0040899796;1.4913177;324.81203;324.1517
1.2621;-1.791411;0.45760981;392.98246;392.41517
1.26215;-0.30265849;1.2216547;343.65915;342.11577
1.2622;0.028629857;1.4749745;347.26817;346.90619
1.26225;-0.22494888;1.2951992;351.6792;350.499
1.2623;-0.14723926;1.3564862;354.88722;353.69261
1.26235;-0.17177914;1.340143;358.09524;356.88623
1.2624;-0.16768916;1.3442288;360.90226;360.47904
1.26245;-0.28629857;1.2706844;364.11028;363.67265
1.2625;-0.26584867;1.2665986;367.3183;366.86627
1.26255;-0.21267894;1.3156282;370.92732;370.05988
1.2626;-0.17586912;1.340143;374.13534;372.85429
1.26265;-0.24948875;1.2951992;376.14035;375.6487
1.2627;-0.024539877;1.4545455;379.34837;378.04391
1.26275;-0.22494888;1.319714;382.15539;380.83832
1.2628;-0.26175869;1.2951992;384.1604;383.23353
